DateTime,Meter_ID,Flow_Rate,Pressure,Temperature,Water_Volume
2024-01-01 00:00:00,METER_001,1.23,2.85,15.2,450
2024-01-01 01:00:00,METER_002,0.87,2.45,14.8,320
2024-01-01 02:00:00,METER_003,1.56,3.12,15.5,520
2024-01-01 03:00:00,METER_004,0.45,2.15,14.2,180
2024-01-01 04:00:00,METER_005,1.34,2.78,15.1,420
2024-01-01 05:00:00,METER_001,1.45,2.92,15.3,480
2024-01-01 06:00:00,METER_002,0.92,2.52,14.9,350
2024-01-01 07:00:00,METER_003,1.78,3.25,15.7,580
2024-01-01 08:00:00,METER_004,0.56,2.28,14.5,210
2024-01-01 09:00:00,METER_005,1.67,2.95,15.4,530
2024-01-01 10:00:00,METER_001,2.34,3.15,16.1,750
2024-01-01 11:00:00,METER_002,1.12,2.68,15.2,420
2024-01-01 12:00:00,METER_003,2.01,3.38,15.9,640
2024-01-01 13:00:00,METER_004,0.78,2.45,14.8,290
2024-01-01 14:00:00,METER_005,1.89,3.05,15.6,600
2024-01-01 15:00:00,METER_001,2.45,3.25,16.2,780
2024-01-01 16:00:00,METER_002,1.34,2.78,15.4,480
2024-01-01 17:00:00,METER_003,2.23,3.42,16.0,710
2024-01-01 18:00:00,METER_004,0.95,2.62,15.1,350
2024-01-01 19:00:00,METER_005,2.12,3.18,15.8,680
2024-01-01 20:00:00,METER_001,1.98,3.08,16.0,630
2024-01-01 21:00:00,METER_002,0.76,2.35,15.0,280
2024-01-01 22:00:00,METER_003,1.45,3.02,15.6,480
2024-01-01 23:00:00,METER_004,0.34,2.05,14.1,130
2024-01-02 00:00:00,METER_005,1.23,2.88,15.2,410
2024-01-02 01:00:00,METER_001,1.56,2.95,15.4,510
2024-01-02 02:00:00,METER_002,0.89,2.48,14.9,330
2024-01-02 03:00:00,METER_003,1.78,3.18,15.7,580
2024-01-02 04:00:00,METER_004,0.45,2.18,14.3,170
2024-01-02 05:00:00,METER_005,1.45,2.82,15.2,450
2024-01-02 06:00:00,METER_001,4.67,1.25,16.8,950
2024-01-02 07:00:00,METER_002,1.02,2.62,15.1,380
2024-01-02 08:00:00,METER_003,2.34,3.35,15.9,750
2024-01-02 09:00:00,METER_004,0.78,2.42,14.7,280
2024-01-02 10:00:00,METER_005,2.01,3.12,15.7,640
2024-01-02 11:00:00,METER_001,5.12,0.95,17.2,1020
2024-01-02 12:00:00,METER_002,1.34,2.75,15.3,480
2024-01-02 13:00:00,METER_003,2.56,3.42,16.1,820
2024-01-02 14:00:00,METER_004,0.89,2.55,14.9,310
2024-01-02 15:00:00,METER_005,2.23,3.28,15.9,710
2024-01-02 16:00:00,METER_001,4.89,1.05,17.1,980
2024-01-02 17:00:00,METER_002,0.95,2.52,15.0,340
2024-01-02 18:00:00,METER_003,1.89,3.15,15.8,610
2024-01-02 19:00:00,METER_004,0.56,2.28,14.6,210
2024-01-02 20:00:00,METER_005,1.67,2.98,15.5,530
2024-01-02 21:00:00,METER_001,2.12,2.95,16.0,680
2024-01-02 22:00:00,METER_002,0.78,2.38,14.8,290
2024-01-02 23:00:00,METER_003,1.56,3.05,15.7,510
2024-01-03 00:00:00,METER_004,0.67,2.35,14.5,250
2024-01-03 01:00:00,METER_005,1.34,2.85,15.1,420
2024-01-03 02:00:00,METER_001,1.45,2.92,15.3,480
2024-01-03 03:00:00,METER_002,0.92,2.52,14.9,350
2024-01-03 04:00:00,METER_003,1.78,3.25,15.7,580
2024-01-03 05:00:00,METER_004,0.56,2.28,14.5,210
2024-01-03 06:00:00,METER_005,1.67,2.95,15.4,530
